Paragraph	Question	Options	Labels 	Phenomena
 //Sent 1: `` The Octopus , '' a masked crime lord , is bent on crippling the nation with a wave of terror . //Sent 2: He starts with the transportation system and then moves onto industry . //Sent 3: He demands tribute from railroad magnates and other captains of industry . //Sent 4: Richard Wentworth , an amateur criminologist who is friendly with the police , is secretly `` The Spider , '' a masked vigilante equally determined to wipe the Octopus and his gang off the face of the earth . //Sent 5: Pleasant and smiling in civilian life , Wentworth is often ruthless as the Spider , slinging two guns against the public enemies who attack him . //Sent 6: Wentworth also masquerades as affable underworld lowlife Blinky McQuade . //Sent 7: Disguised as McQuade , Wentworth can infiltrate gangland at the hired-gun level and keep current on the gang's plans . //Sent 8: The only people who know Wentworth's other identities are his assistants Jackson and Ram Singh , his butler Jenkins , and his fianc e Nita . //Sent 9: The Octopus was a villain in a single issue pulp believed to have been written by Norvell Page who wrote most of The Spider pulp stories . //Sent 10: He is garbed completely in white and is only ever seen sitting in a chair . //Sent 11: Unlike the pulps , The Spider is garbed in a lightweight full length costume with web-like markings on it Which resemble Spiderman's costume . //Sent 12: The serial follows the standard formula of fights , shoot-outs , Wentworth's friends being kidnapped at various times and having to be rescued . //Sent 13: Each chapter ends with The Spider or his friends in deep trouble , often about to be killed , but the effect is spoiled by a trailer for the next episode Which shows them in full health and fighting the villains .	What does "The Octopus" wear?	A mask and white garb  // Short lightweight dress  // Long lightweight dress  // Dress similar to villains.	1,0,0,0	Coref,Lex
	Who does "The Octopus" terrorize?	Railroad magnates and other captains of industry  // The spider  // Mr. Wentworth // Ram Singh  // Norvell Page 	1,0,0,0,0	Coref,Lex,Common
	How is octopus different from the spider?	Octopus is the criminalogist  // Octopus is villain in white  // The octopus is garbed completely in light weight full length costume and is only ever seen sitting in a chair while the Spider is garbed in a white costume. //  Octoups is poor man  // They dress and look differently. 	0,1,0,0,1	Coref,Lex,Common
	Who knows the spider's other identity and why?	Only Jackson and Ram Singh, because he doesn't trust his fiance. This is to keep his identity a secret.  // The police he secretly works for, and a few others, to keep his position secret.  // Jackson and Ram Singh, his butler Jenkins , and his fianc e Nita. It was used as a disguise.  // No one, because he is trying to keep his identity a secret.  // everyone, because he doesn't want to keep his identity a secret.   	0,1,1,0,0	Coref,Common
	Richard Wentworth masquerades as 3 different "people." Who are they?	The spider, Criminologist, and Blinky McQuade  // Amateur criminologist, the Spider and Blinky McQuade  // Blinky McQuade , Octopus, and Policeman  	1,1,0	Coref,Lex,Common
	Who is Blinky McQuade's fiancee?	The spider  //  Nita  // Angelina  // Jenkins  	0,1,0,0	Coref,Lex,Common
	Which crime lord demands tribute from railroad magnates?	Octopus  // Amateur criminologist  // Spider  // butler Jenkins	1,0,0,0	Coref
	Who is only seen sitting in a chair?	The Octopus  // Nita  // Butler  // the nation  //  Norvell Page  	1,0,0,0,0	Coref
	Who is garbed completely in white?	The Octopus  // Butler  // Spider  // Nita  	1,0,0,0	Coref

//Sent 1: The film begins with Brick Bardo ( Tim Thomerson , from ( ( Dollman hitchhiking to get to the town of Pahoota , where he tries to find a girl named Nurse Ginger ( Melissa Behr , who was shrunken to 11 inches in ( ( Bad Channels , to prove to her that she's not alone . //Sent 2: Meanwhile , the film cuts to Judith Grey , who has a nightmare about the events that happened in the previous film a year before . //Sent 3: Ever since the events that took place a year before , Judith has been watching the Toyland Warehouse , believing that the toys are still alive . //Sent 4: Meanwhile , a bum breaks into the Warehouse , and starts to mess around with a clown tricycle , until he gets knocked in the head with a box of toys , causing him to hit his head on the ground , killing him . //Sent 5: However , his blood continues to flow over to the place where the demon was buried , and brings back : Baby Oopsie Daisy , Jack Attack , Mr. Static , and this time brings up a new killer toy named Zombietoid , a blonde GI JOE action figure with a sword as a weapon . //Sent 6: Judith , who's now inside the building , finally sees the toys in full view , but is then arrested for breaking into a secluded building . //Sent 7: After the police leave , the toys force the new security guard Ray Vernon to help them with their needs . //Sent 8: Meanwhile , Judith , who now knows about Nurse Ginger and Brick Bardo's history , bribes a news reporter to tell her where they 're at , and tells her they are in Pahoota . //Sent 9: Judith , after having a deal with Bardo and Ginger to help her kill the toys , they head off back to the Warehouse .	Whose blood brings back Mr. Static?	the bum  // Jack Attack  // Judith  // Ray Vernon  	1,0,0,0	Coref,Lex
	What warehouse is Judith having nightmares about?	the Toyland Warehouse  // Judith's warehouse  // the bum's warehouse  	1,0,0	Coref,Other
	What is a toy Judith saw for the first time after breaking in?	Baby Oopsie Daisy  // Jack Attack  // Mr. Static  // Zombietoid  // the bum  // Rayman  // Brick Bardo  	1,1,1,1,0,0,0	Lex,Coref,Sp-temp
	What was the first name of actor Bardo, and first name of actress Grey?	Brick, Judith  // Judith, Brick  //  Tim, Melissa  //  Maureen, Judith  //  Ray, Ginger  	1,0,0,0,0	Common
	What happens in the warehouse?	A toy was killed, and his blood flowed to where the demon was buried, and causes other bums to become possessed. //  the toys are brought back  // the bum dies  // The toys are brought back and they force Ray Vernon to help them  // Judith kills a bum  // Judith sings a song with the toys  // Ginger is arrested 	0,1,1,1,0,0,0	Coref,Lex,Common,Sp-temp
	What happens to Judith, and what happens to the new security guard?	Judith is briefly arrested and the new security guard is forced to help the toys  // Judith is forced to help the toys, the security guard is arrested  // Judith runs away and the new security guard quits  // Judith falls off a tricycle, the security guard is brought back to life 	1,0,0,0	Sp-temp,Coref
	What does Judith ask the reporter to do, and who does Judith get to help her destroy the toys?	Judith asks the reporter to tell her where Brick and Nurse Ginger are  //  Judith ask the reporter to destroy the toys, Ginger and Brick Bardo help look for the reporter in the warehouse.  // To tell her where Ray Vernon is.  // To tell her the toys are. 	1,0,0,0	Coref
	Who's blood brings back Baby Oopsie Daisy?	the bums  // the one who broke in the warehouse  // the reporter  // Judith  // Brick Bardo  	1,1,0,0,0	Coref,Lex
